FECHA;DESCRIPCION;VALOR;ETIQUETA
10/11;Recarga de Tarjeta Civica;7000.0;NO_HORMIGA
10/11;Recarga de Tarjeta Civica;6000.0;NO_HORMIGA
10/11;RETIRO CAJERO;20000.0;NO_HORMIGA
11/11;TRANSFERENCIAS A NEQUI;12500.0;NO_HORMIGA
12/11;PAGO QR NATIVOS EAFIT;12000.0;HORMIGA
12/11;COMPRA EN  HOME FOOD;22000.0;NO_HORMIGA
12/11;Recarga de Tarjeta Civica;10000.0;NO_HORMIGA
13/11;COMPRA EN  CHIPSTATIO;17700.0;NO_HORMIGA
13/11;COMPRA EN  LAS HERMOS;5100.0;HORMIGA
13/11;Recarga de Tarjeta Civica;12000.0;NO_HORMIGA
14/11;COMPRA EN  UNIVERSIDA;4200.0;HORMIGA
14/11;COMPRA EN  PV DOGGER;11900.0;HORMIGA
14/11;Recarga de Tarjeta Civica;15000.0;NO_HORMIGA
14/11;RETIRO CAJERO;80000.0;NO_HORMIGA
14/11;CUOTA MANEJO TRJ DEB 11 25;10650.0;NO_HORMIGA
15/11;TRANSFERENCIAS A NEQUI;9000.0;NO_HORMIGA
15/11;PAGO QR LA BODEGA HYC;82900.0;NO_HORMIGA
15/11;Recarga de Tarjeta Civica;5000.0;NO_HORMIGA
17/11;COMPRA EN  INVERSIONE;15344.0;HORMIGA
17/11;COMPRA EN  TIENDA D1;6200.0;HORMIGA
18/11;COMPRA EN  INVERSIONE;8241.0;HORMIGA
18/11;Recarga de Tarjeta Civica;12000.0;NO_HORMIGA
18/11;RETIRO CAJERO;70000.0;NO_HORMIGA
19/11;TRANSFERENCIAS A NEQUI;50000.0;NO_HORMIGA
19/11;COMPRA EN  UNIVERSIDA;7200.0;HORMIGA
19/11;COMPRA EN  INVERSIONE;9298.0;HORMIGA
21/11;COMPRA EN  CHIPSTATIO;17700.0;NO_HORMIGA
21/11;COMPRA EN  TIENDA D1;5990.0;HORMIGA
21/11;Recarga de Tarjeta Civica;12000.0;NO_HORMIGA
22/11;TRANSFERENCIAS A NEQUI;5000.0;NO_HORMIGA
23/11;TRANSF QR WEBO DIGITAL AGENC;12000.0;NO_HORMIGA
24/11;TRANSFERENCIAS A NEQUI;12000.0;NO_HORMIGA
24/11;COMPRA EN  FARMACIA P;8828.0;NO_HORMIGA
24/11;COMPRA EN  HOME FOOD;23000.0;NO_HORMIGA
24/11;Recarga de Tarjeta Civica;8000.0;NO_HORMIGA
25/11;Recarga de Tarjeta Civica;1000.0;NO_HORMIGA
25/11;Recarga de Tarjeta Civica;6000.0;NO_HORMIGA
27/11;TRANSFERENCIAS A NEQUI;21000.0;NO_HORMIGA
27/11;COMPRA EN  CREPES Y W;14200.0;NO_HORMIGA
27/11;COMPRA EN  TIENDA D1;15940.0;NO_HORMIGA
28/11;PAGO QR RESTAURANTE A;10000.0;NO_HORMIGA
